band_index,F_score,p_value
721,0.8987364475981038,0.3480747397371018
610,0.8882108062242084,0.3508861791804645
601,0.879092905406215,0.3533471830651538
606,0.8756607254211698,0.3542797903066315
611,0.8730314723778781,0.3549965477296865
413,0.8664145339324071,0.3568093731173113
597,0.8627978253800173,0.3578057116898391
722,0.8600160692868709,0.35857468987517116
603,0.8539273190016506,0.3602659525797296
596,0.8347426205188052,0.3656688655559004
813,0.831077288446779,0.36671411971248014
812,0.8230965238558683,0.3690047097736864
598,0.8088325478933055,0.3731495988531852
723,0.8018397640319925,0.3752058736353636
592,0.7925100101862923,0.3779746903301825
605,0.7905603322971532,0.37855700199659625
590,0.7869782663496081,0.37963022494610854
591,0.7845341235967795,0.3803650281415635
811,0.7821436991091415,0.3810856640010757
600,0.7793722185607111,0.38192364167877446
589,0.7782463516209981,0.38226481512677646
517,0.7681394084257179,0.385347357141659
516,0.7658818658567839,0.38604080467748714
526,0.7656419886240236,0.3861145938785331
587,0.7623579111255008,0.3871268778385991
536,0.7621725572099537,0.3871841261260244
527,0.7596683596880283,0.3879587778566179
537,0.7581045072014478,0.3884436851680899
414,0.7545621377231584,0.38954534183403267
588,0.7542339060495276,0.3896476502082924
604,0.754129809457229,0.38968010483522086
594,0.7496636231795138,0.39107626594277634
528,0.7493722499508444,0.39116760466176215
585,0.7476399155725238,0.3917112946843021
538,0.7443763966558343,0.39273854745207626
546,0.7433837621725615,0.39305177871042907
595,0.7433066714546065,0.39307612040206874
593,0.7425288497653669,0.3933218440625733
515,0.7382044566392185,0.39469208464540617
525,0.738188730252244,0.39469708051497043
559,0.7362680665222956,0.39530792412420623
504,0.7322987903497629,0.3965747087984042
514,0.7319202874396841,0.3966958184139039
599,0.7304305647118309,0.3971730137370715
586,0.7274662577259766,0.3981250707890155
557,0.7263119251401848,0.3984967211286907
545,0.7232960451209481,0.39947013424723476
503,0.7214397556050697,0.4000710198367351
558,0.7206621490631173,0.40032312966502026
518,0.7197104916807369,0.40063198842515957
496,0.715961984541177,0.4018519926894608
583,0.7148734326901007,0.40220730706009455
556,0.713113829265294,0.40278264409719455
513,0.7112596634800269,0.40339022079262854
524,0.7101323428132121,0.40376028802764097
560,0.7093351474950235,0.40402228865715695
547,0.7059524824484328,0.4051368246485697
497,0.7046754976815718,0.4055587596781667
495,0.7041145129183158,0.40574432413886674
578,0.7033701193747264,0.4059907522653279
584,0.7032288439083395,0.4060375460161586
512,0.6989244932534123,0.4074671071738408
505,0.6979367301372756,0.4077962212874774
535,0.6978991214464093,0.40780876001247957
561,0.6963445161903831,0.40832756869380904
529,0.6953117744382977,0.4086727639844555
511,0.6892524122062393,0.41070692908552786
555,0.6886788304124476,0.4109002686190105
582,0.6858747553703767,0.411847415651863
724,0.682363615041479,0.4130380171039062
539,0.6814938736174498,0.41333373873661283
579,0.6812118391985904,0.41342970186188466
494,0.6787604758200296,0.41426519917334126
810,0.6775290524446634,0.4146858637815385
577,0.6772203634108337,0.41479141537728736
498,0.6769514694071428,0.4148833926357567
576,0.6766857852642466,0.4149743021127429
581,0.6751022033660694,0.41551678145081805
530,0.6733479983312937,0.41611895934357057
493,0.6715734203289226,0.41672947157271933
572,0.671216171472899,0.4168525402502389
510,0.6685476694279334,0.4177735521874545
580,0.6679944826379581,0.41796486508760655
554,0.6645232315737121,0.41916838686792357
415,0.6642355761360521,0.41926835564792464
562,0.663197600383959,0.4196293835521623
502,0.661172085081772,0.4203352555856904
534,0.6571158049355733,0.42175425957063495
574,0.6564819792206912,0.4219766477044633
568,0.6562643998891894,0.4220530301018799
573,0.6558869374873865,0.422185590220442
519,0.6552317151887669,0.42241584665922094
544,0.6538468616044882,0.4229031375861676
499,0.6537600723465172,0.4229337047793118
